ComplaintID,CustomerID,ComplaintDate,ComplaintCategory,Channel,ComplaintText,SentimentLabel,SentimentScore
COMP00036,CUST40217,2024-07-19,Billing,Web,Calls keep dropping frequently.,Negative,-0.36
COMP00037,CUST75200,2024-11-22,Speed,Email,Calls keep dropping frequently.,Negative,-0.47
COMP00038,CUST34791,2024-09-12,Billing,Email,The plan is too expensive for the service provided.,Negative,-0.45
COMP00039,CUST36448,2025-09-18,Speed,Web,Customer support was average.,Neutral,-0.19
COMP00040,CUST28234,2024-05-09,Network,Twitter,Customer service never responds properly.,Negative,-0.44
COMP00041,CUST93576,2024-05-17,Billing,Web,Activation was smooth and hassle free.,Positive,0.5
COMP00042,CUST62233,2024-05-04,Plans,Email,The plan offers great value for money.,Positive,0.65
COMP00043,CUST22791,2024-09-11,Customer Service,Call,Plan is okay compared to others.,Neutral,-0.1
COMP00044,CUST71137,2025-07-21,Plans,App,Service is neither good nor bad.,Neutral,0.1
COMP00045,CUST19797,2025-02-04,Coverage,Email,The network quality has improved a lot recently.,Positive,0.93
COMP00046,CUST63893,2025-09-01,Network,Web,Network is very poor in my area.,Negative,-0.7
COMP00047,CUST62423,2024-05-30,Speed,Web,eSIM activation failed multiple times.,Negative,-0.51
COMP00048,CUST15555,2025-09-10,Activation,App,Calls keep dropping frequently.,Negative,-0.68
COMP00049,CUST56947,2025-02-12,Coverage,Call,I am satisfied with the service quality.,Positive,0.65
COMP00050,CUST62390,2024-06-08,Coverage,Call,Network works fine but could be better.,Neutral,0.0
COMP00051,CUST94825,2025-01-09,Billing,Twitter,eSIM activation failed multiple times.,Negative,-0.52
COMP00052,CUST81916,2024-06-23,Billing,App,Internet speed is very good and stable.,Positive,0.35
COMP00053,CUST21034,2025-05-27,Portability,Twitter,Billing was clear and transparent this month.,Positive,0.69
COMP00054,CUST71355,2024-01-29,Speed,Email,eSIM activation failed multiple times.,Negative,-0.77
COMP00055,CUST46273,2025-05-21,Customer Service,Call,Internet speed is extremely slow.,Negative,-0.74
COMP00056,CUST32267,2024-01-17,Customer Service,App,Internet speed is very good and stable.,Positive,0.41
COMP00057,CUST76207,2025-09-17,Plans,Web,I am being charged incorrectly every month.,Negative,-0.58
COMP00058,CUST82070,2025-07-14,Network,Web,Plan is okay compared to others.,Neutral,0.17
COMP00059,CUST51010,2024-10-17,Portability,App,eSIM activation failed multiple times.,Negative,-0.59
COMP00060,CUST17827,2025-08-23,Plans,Call,Calls keep dropping frequently.,Negative,-0.63
COMP00061,CUST32682,2024-05-07,Billing,Web,I am satisfied with the service quality.,Positive,0.99
COMP00062,CUST25953,2024-07-28,Billing,Twitter,Customer support resolved my issue quickly.,Positive,0.41
COMP00063,CUST16129,2025-05-21,Coverage,Call,eSIM activation failed multiple times.,Negative,-0.86
COMP00064,CUST50718,2024-08-14,Activation,Email,Plan is okay compared to others.,Neutral,0.18
COMP00065,CUST70034,2024-02-21,Portability,Twitter,Network is very poor in my area.,Negative,-0.71
COMP00066,CUST99704,2024-10-16,Coverage,Call,I am being charged incorrectly every month.,Negative,-0.38
COMP00067,CUST34215,2024-03-19,Portability,Call,Billing was clear and transparent this month.,Positive,0.5
COMP00068,CUST20767,2024-06-29,Activation,Email,Network works fine but could be better.,Neutral,0.17
COMP00069,CUST42645,2024-08-19,Speed,Email,Plan is okay compared to others.,Neutral,0.05
COMP00070,CUST67291,2024-05-18,Portability,Call,"Billing is okay, nothing special.",Neutral,-0.17
COMP00071,CUST68760,2025-07-17,Portability,Email,Service is neither good nor bad.,Neutral,0.16
COMP00072,CUST95593,2024-01-20,Network,App,I am satisfied with the service quality.,Positive,0.83
COMP00073,CUST16104,2025-04-16,Billing,Twitter,Billing was clear and transparent this month.,Positive,0.99
COMP00074,CUST30464,2024-12-30,Portability,App,The network quality has improved a lot recently.,Positive,0.89
COMP00075,CUST20747,2025-02-27,Billing,App,I am satisfied with the service quality.,Positive,0.65
COMP00076,CUST21566,2024-09-10,Network,Web,The plan offers great value for money.,Positive,0.72
COMP00077,CUST45774,2025-06-11,Network,Call,Activation took some time.,Neutral,-0.04
COMP00078,CUST94240,2025-03-02,Portability,Email,Activation was smooth and hassle free.,Positive,0.72
COMP00079,CUST22413,2025-01-17,Billing,Web,The network quality has improved a lot recently.,Positive,0.98
COMP00080,CUST64352,2025-09-02,Customer Service,Twitter,eSIM activation failed multiple times.,Negative,-0.52
COMP00081,CUST69103,2024-06-16,Activation,Email,Customer support was average.,Neutral,0.01
COMP00082,CUST28400,2024-07-23,Network,Call,Billing was clear and transparent this month.,Positive,0.53
COMP00083,CUST26802,2025-01-24,Speed,App,Internet speed is very good and stable.,Positive,0.53
COMP00084,CUST43161,2025-07-12,Plans,Call,eSIM activation failed multiple times.,Negative,-0.98
COMP00085,CUST59788,2025-01-15,Network,Call,Internet speed is very good and stable.,Positive,0.91
COMP00086,CUST61623,2025-05-28,Speed,Twitter,Network works fine but could be better.,Neutral,0.01
COMP00087,CUST57148,2024-01-07,Activation,Web,Internet speed is acceptable.,Neutral,-0.06
COMP00088,CUST33149,2025-08-26,Coverage,App,Activation took some time.,Neutral,-0.15
COMP00089,CUST51880,2025-04-25,Portability,Twitter,Internet speed is acceptable.,Neutral,0.15
COMP00090,CUST37557,2025-01-02,Portability,Twitter,Customer support resolved my issue quickly.,Positive,0.6
COMP00091,CUST56822,2025-06-18,Portability,Web,Internet speed is acceptable.,Neutral,0.15
COMP00092,CUST67757,2025-09-05,Activation,Web,Customer support resolved my issue quickly.,Positive,0.7
COMP00093,CUST81738,2024-02-10,Activation,Twitter,Activation took some time.,Neutral,-0.02
COMP00094,CUST46604,2025-06-28,Plans,App,Network works fine but could be better.,Neutral,-0.14
COMP00095,CUST11909,2024-02-28,Billing,Twitter,Customer support resolved my issue quickly.,Positive,0.82
COMP00096,CUST38947,2025-01-06,Speed,Call,I am being charged incorrectly every month.,Negative,-0.36
COMP00097,CUST52863,2025-09-05,Plans,Twitter,Calls keep dropping frequently.,Negative,-0.41
COMP00098,CUST45162,2025-02-04,Plans,Web,Calls keep dropping frequently.,Negative,-0.65
COMP00099,CUST97432,2025-08-19,Plans,Twitter,Plan is okay compared to others.,Neutral,0.19
COMP00100,CUST11548,2024-08-18,Coverage,Email,Customer service never responds properly.,Negative,-0.57
COMP00101,CUST56788,2024-07-03,Portability,Call,Internet speed is acceptable.,Neutral,-0.11
COMP00102,CUST55124,2024-11-13,Portability,Email,Network works fine but could be better.,Neutral,-0.12
COMP00103,CUST57780,2024-08-12,Billing,Email,The plan offers great value for money.,Positive,0.86
COMP00104,CUST52878,2025-09-08,Billing,Web,Internet speed is extremely slow.,Negative,-0.39
COMP00105,CUST91452,2025-04-29,Portability,Call,Plan is okay compared to others.,Neutral,0.12
COMP00106,CUST51279,2025-06-20,Billing,Web,eSIM activation failed multiple times.,Negative,-0.38
COMP00107,CUST56998,2025-02-27,Activation,App,Billing was clear and transparent this month.,Positive,0.67
COMP00108,CUST45993,2024-05-13,Billing,App,"Billing is okay, nothing special.",Neutral,0.09
COMP00109,CUST13333,2024-03-20,Network,Web,Internet speed is extremely slow.,Negative,-0.86
COMP00110,CUST87857,2024-08-17,Customer Service,Call,Calls keep dropping frequently.,Negative,-0.64
COMP00111,CUST84916,2024-06-22,Coverage,App,Customer support resolved my issue quickly.,Positive,0.36
COMP00112,CUST56572,2024-10-06,Plans,Twitter,Internet speed is acceptable.,Neutral,0.18
COMP00113,CUST85276,2024-12-16,Plans,Twitter,Calls keep dropping frequently.,Negative,-0.46
COMP00114,CUST20222,2024-11-18,Coverage,App,Plan is okay compared to others.,Neutral,-0.05
COMP00115,CUST35735,2024-03-22,Plans,Call,I am being charged incorrectly every month.,Negative,-0.51
COMP00116,CUST84243,2024-10-02,Customer Service,App,Internet speed is acceptable.,Neutral,-0.02
COMP00117,CUST68882,2024-10-13,Network,Call,The plan is too expensive for the service provided.,Negative,-0.89
COMP00118,CUST29754,2024-06-06,Network,Call,Service is neither good nor bad.,Neutral,-0.05
COMP00119,CUST22837,2024-10-07,Portability,Email,The plan is too expensive for the service provided.,Negative,-0.98
COMP00120,CUST62934,2024-06-18,Billing,Email,Billing was clear and transparent this month.,Positive,0.57
COMP00121,CUST29505,2024-12-08,Network,Web,Internet speed is acceptable.,Neutral,-0.2
COMP00122,CUST27194,2024-05-04,Customer Service,Web,The network quality has improved a lot recently.,Positive,0.7
COMP00123,CUST50808,2025-07-26,Billing,Twitter,"Billing is okay, nothing special.",Neutral,0.14
COMP00124,CUST22551,2024-01-01,Network,Web,Network works fine but could be better.,Neutral,-0.01
COMP00125,CUST98564,2025-09-18,Portability,App,Customer support was average.,Neutral,-0.1
COMP00126,CUST23445,2024-11-26,Portability,App,The network quality has improved a lot recently.,Positive,0.64
COMP00127,CUST68938,2024-03-04,Activation,Web,Service is neither good nor bad.,Neutral,-0.09
COMP00128,CUST15265,2024-11-02,Network,Call,I am satisfied with the service quality.,Positive,0.67
COMP00129,CUST31924,2024-10-22,Speed,Email,Internet speed is extremely slow.,Negative,-0.74
COMP00130,CUST80964,2024-08-12,Speed,Web,Billing was clear and transparent this month.,Positive,0.67
COMP00131,CUST40779,2024-09-10,Activation,Call,Customer support was average.,Neutral,0.2
COMP00132,CUST23539,2024-06-22,Portability,Call,Calls keep dropping frequently.,Negative,-0.95
COMP00133,CUST80775,2024-02-22,Speed,App,Internet speed is extremely slow.,Negative,-0.47
COMP00134,CUST13458,2024-02-15,Network,Email,Customer support resolved my issue quickly.,Positive,0.74
COMP00135,CUST18404,2024-09-13,Activation,App,"Billing is okay, nothing special.",Neutral,-0.07
COMP00136,CUST30501,2024-10-22,Coverage,Email,Customer support resolved my issue quickly.,Positive,0.36
COMP00137,CUST62255,2025-07-31,Speed,App,Customer service never responds properly.,Negative,-0.81
COMP00138,CUST63006,2024-03-23,Activation,App,The network quality has improved a lot recently.,Positive,0.75
COMP00139,CUST14009,2024-01-03,Speed,Web,The network quality has improved a lot recently.,Positive,0.95
COMP00140,CUST25471,2025-04-19,Customer Service,Email,Billing was clear and transparent this month.,Positive,0.73
COMP00141,CUST14149,2024-09-03,Customer Service,Twitter,eSIM activation failed multiple times.,Negative,-0.45
COMP00142,CUST32715,2025-05-31,Billing,Web,Customer support was average.,Neutral,0.09
COMP00143,CUST14804,2024-11-15,Network,Call,The plan is too expensive for the service provided.,Negative,-0.7
COMP00144,CUST43357,2024-09-04,Billing,Email,The network quality has improved a lot recently.,Positive,0.91
COMP00145,CUST38180,2025-06-08,Network,Call,I am satisfied with the service quality.,Positive,0.68
COMP00146,CUST57148,2025-03-06,Coverage,Web,"Billing is okay, nothing special.",Neutral,0.11
COMP00147,CUST78513,2024-05-15,Activation,Twitter,I am satisfied with the service quality.,Positive,0.58
COMP00148,CUST45501,2025-08-06,Network,App,Customer service never responds properly.,Negative,-0.62
COMP00149,CUST23652,2025-06-26,Coverage,Email,Customer support resolved my issue quickly.,Positive,0.73
COMP00150,CUST83261,2024-09-04,Customer Service,Call,"Billing is okay, nothing special.",Neutral,0.16
COMP00151,CUST72801,2024-09-26,Network,Email,Calls keep dropping frequently.,Negative,-0.73
COMP00152,CUST30124,2024-10-05,Coverage,Twitter,Internet speed is very good and stable.,Positive,0.87
COMP00153,CUST75699,2025-08-13,Customer Service,Twitter,The plan is too expensive for the service provided.,Negative,-0.68
COMP00154,CUST42792,2025-09-15,Speed,Email,Calls keep dropping frequently.,Negative,-0.55
COMP00155,CUST89286,2024-08-12,Customer Service,Twitter,Network is very poor in my area.,Negative,-0.71
COMP00156,CUST25906,2025-05-26,Coverage,Web,Activation was smooth and hassle free.,Positive,0.51
COMP00157,CUST35806,2024-07-10,Network,Web,Internet speed is extremely slow.,Negative,-0.56
COMP00158,CUST25448,2024-03-29,Coverage,App,The plan offers great value for money.,Positive,0.32
COMP00159,CUST14214,2024-07-22,Coverage,Twitter,Customer support was average.,Neutral,-0.02
COMP00160,CUST57515,2025-01-16,Network,App,Billing was clear and transparent this month.,Positive,0.74
COMP00161,CUST64456,2024-12-11,Network,Email,Internet speed is very good and stable.,Positive,0.62
COMP00162,CUST54093,2025-02-09,Billing,Call,Internet speed is very good and stable.,Positive,0.31
COMP00163,CUST93307,2024-05-13,Billing,Call,I am being charged incorrectly every month.,Negative,-0.82
COMP00164,CUST70442,2024-07-17,Billing,Email,The plan is too expensive for the service provided.,Negative,-0.6
COMP00165,CUST42319,2024-08-04,Speed,Web,Internet speed is very good and stable.,Positive,0.84
COMP00166,CUST47801,2024-07-30,Customer Service,Email,Internet speed is extremely slow.,Negative,-0.88
COMP00167,CUST89266,2024-10-25,Portability,App,The plan offers great value for money.,Positive,0.72
COMP00168,CUST66598,2024-11-26,Network,Twitter,Billing was clear and transparent this month.,Positive,0.87
COMP00169,CUST77324,2025-04-15,Customer Service,App,Activation took some time.,Neutral,-0.12
COMP00170,CUST13695,2024-05-11,Activation,Email,Activation was smooth and hassle free.,Positive,0.33
COMP00171,CUST14188,2025-09-09,Billing,Web,Billing was clear and transparent this month.,Positive,0.71
COMP00172,CUST49917,2025-04-19,Speed,Email,The plan offers great value for money.,Positive,0.61
COMP00173,CUST62348,2024-05-14,Coverage,Email,Activation was smooth and hassle free.,Positive,0.84
COMP00174,CUST61345,2024-03-20,Billing,Email,"Billing is okay, nothing special.",Neutral,-0.03
COMP00175,CUST75012,2024-01-29,Customer Service,Call,eSIM activation failed multiple times.,Negative,-0.3
COMP00176,CUST20598,2024-07-25,Speed,App,Customer support was average.,Neutral,-0.19
COMP00177,CUST43826,2024-01-07,Coverage,App,The network quality has improved a lot recently.,Positive,0.92
COMP00178,CUST74976,2024-07-01,Billing,Email,The plan offers great value for money.,Positive,0.35
COMP00179,CUST60091,2025-05-05,Activation,App,Internet speed is extremely slow.,Negative,-0.85
COMP00180,CUST35781,2024-11-17,Network,App,Internet speed is extremely slow.,Negative,-0.88
COMP00181,CUST34782,2024-01-06,Speed,Web,The plan is too expensive for the service provided.,Negative,-0.66
COMP00182,CUST55914,2025-05-27,Portability,App,Service is neither good nor bad.,Neutral,0.13
COMP00183,CUST53206,2024-09-02,Speed,Email,I am being charged incorrectly every month.,Negative,-0.45
COMP00184,CUST15603,2024-03-09,Plans,Twitter,Internet speed is acceptable.,Neutral,0.19
COMP00185,CUST68374,2024-04-06,Portability,Twitter,I am being charged incorrectly every month.,Negative,-0.86
COMP00186,CUST67780,2025-03-25,Billing,Email,The plan is too expensive for the service provided.,Negative,-0.6
COMP00187,CUST53321,2024-02-10,Portability,Call,Service is neither good nor bad.,Neutral,0.14
COMP00188,CUST32165,2025-06-21,Activation,Email,Network is very poor in my area.,Negative,-0.8
COMP00189,CUST48481,2025-08-26,Activation,Email,Activation took some time.,Neutral,0.2
COMP00190,CUST68018,2024-03-12,Activation,Email,Calls keep dropping frequently.,Negative,-0.87
COMP00191,CUST66989,2025-02-07,Network,App,Plan is okay compared to others.,Neutral,0.05
COMP00192,CUST58273,2025-06-20,Customer Service,Web,Internet speed is acceptable.,Neutral,-0.03
COMP00193,CUST44648,2024-12-30,Speed,Call,Network is very poor in my area.,Negative,-0.93
COMP00194,CUST79708,2025-08-12,Activation,Web,The network quality has improved a lot recently.,Positive,0.5
COMP00195,CUST24066,2025-03-13,Activation,Email,I am satisfied with the service quality.,Positive,0.66
COMP00196,CUST14069,2024-02-16,Speed,Email,Billing was clear and transparent this month.,Positive,0.8
COMP00197,CUST40949,2024-01-10,Activation,Email,eSIM activation failed multiple times.,Negative,-0.76
COMP00198,CUST11376,2024-08-15,Coverage,Twitter,Internet speed is extremely slow.,Negative,-0.63
COMP00199,CUST58168,2025-07-28,Plans,Call,Customer support resolved my issue quickly.,Positive,0.99
COMP00200,CUST23796,2024-01-04,Activation,Web,Activation was smooth and hassle free.,Positive,0.3
COMP00201,CUST24237,2025-09-20,Portability,Twitter,Activation took some time.,Neutral,-0.1
COMP00202,CUST50622,2024-12-12,Network,Call,The plan is too expensive for the service provided.,Negative,-0.61
COMP00203,CUST66404,2025-07-17,Customer Service,Call,The network quality has improved a lot recently.,Positive,0.46
COMP00204,CUST25889,2025-08-25,Speed,App,Calls keep dropping frequently.,Negative,-0.38
COMP00205,CUST57524,2024-02-28,Billing,Web,Internet speed is acceptable.,Neutral,-0.03
COMP00206,CUST32637,2024-12-30,Plans,App,eSIM activation failed multiple times.,Negative,-0.91
COMP00207,CUST63485,2024-10-27,Customer Service,App,Activation was smooth and hassle free.,Positive,0.52
COMP00208,CUST55255,2025-02-21,Coverage,Email,I am satisfied with the service quality.,Positive,0.71
COMP00209,CUST39697,2024-11-13,Speed,Twitter,Customer service never responds properly.,Negative,-0.36
COMP00210,CUST86412,2024-05-17,Portability,Twitter,Service is neither good nor bad.,Neutral,0.14
COMP00211,CUST69739,2025-03-22,Speed,App,Network is very poor in my area.,Negative,-0.43
COMP00212,CUST14620,2025-08-13,Plans,App,"Billing is okay, nothing special.",Neutral,0.06
COMP00213,CUST26802,2025-05-27,Customer Service,Twitter,Network works fine but could be better.,Neutral,0.04
COMP00214,CUST49386,2025-01-08,Plans,App,Internet speed is extremely slow.,Negative,-0.83
COMP00215,CUST49451,2024-12-07,Speed,Call,Network is very poor in my area.,Negative,-0.43
COMP00216,CUST94322,2024-02-29,Plans,App,Network works fine but could be better.,Neutral,-0.05
COMP00217,CUST78896,2024-06-04,Coverage,Twitter,Calls keep dropping frequently.,Negative,-0.53
COMP00218,CUST80203,2024-05-18,Network,App,I am satisfied with the service quality.,Positive,0.62
COMP00219,CUST18039,2025-01-21,Network,App,Internet speed is extremely slow.,Negative,-0.36
COMP00220,CUST74278,2024-12-28,Customer Service,Twitter,Plan is okay compared to others.,Neutral,0.12
COMP00221,CUST61100,2025-08-23,Coverage,Email,"Billing is okay, nothing special.",Neutral,-0.2
COMP00222,CUST91888,2024-01-05,Billing,Call,Internet speed is extremely slow.,Negative,-0.77
COMP00223,CUST93898,2024-02-11,Activation,Web,Internet speed is acceptable.,Neutral,-0.14
COMP00224,CUST62465,2024-04-01,Network,Call,The plan offers great value for money.,Positive,0.34
COMP00225,CUST96453,2024-07-28,Customer Service,Web,Customer service never responds properly.,Negative,-0.51
COMP00226,CUST50506,2024-06-24,Speed,Email,Internet speed is acceptable.,Neutral,0.06
COMP00227,CUST22396,2024-10-15,Activation,Twitter,Customer service never responds properly.,Negative,-0.35
COMP00228,CUST13162,2024-03-25,Billing,Web,The network quality has improved a lot recently.,Positive,0.97
COMP00229,CUST53081,2024-08-09,Customer Service,App,I am being charged incorrectly every month.,Negative,-0.69
COMP00230,CUST79536,2024-02-11,Coverage,Web,Customer service never responds properly.,Negative,-0.82
COMP00231,CUST56024,2024-11-18,Speed,Web,Network is very poor in my area.,Negative,-0.95
COMP00232,CUST83331,2024-01-16,Speed,App,Service is neither good nor bad.,Neutral,-0.17
COMP00233,CUST33452,2024-08-21,Billing,Twitter,Customer support was average.,Neutral,0.04
COMP00234,CUST89583,2025-07-20,Activation,Email,I am satisfied with the service quality.,Positive,0.66
COMP00235,CUST68588,2024-11-01,Billing,Email,"Billing is okay, nothing special.",Neutral,0.11
COMP00236,CUST35782,2024-07-03,Customer Service,Web,Customer support resolved my issue quickly.,Positive,0.37
COMP00237,CUST43985,2024-05-11,Plans,Web,Billing was clear and transparent this month.,Positive,0.65
COMP00238,CUST36402,2025-09-09,Customer Service,App,The network quality has improved a lot recently.,Positive,0.98
COMP00239,CUST38746,2025-09-28,Speed,Twitter,The network quality has improved a lot recently.,Positive,0.91
COMP00240,CUST50434,2024-07-16,Plans,App,Service is neither good nor bad.,Neutral,0.19
COMP00241,CUST87684,2024-06-19,Portability,App,The plan is too expensive for the service provided.,Negative,-0.67
COMP00242,CUST48175,2024-04-05,Speed,Twitter,Service is neither good nor bad.,Neutral,-0.08
COMP00243,CUST68315,2025-02-17,Network,Email,The plan is too expensive for the service provided.,Negative,-0.65
COMP00244,CUST85838,2025-03-24,Activation,Twitter,Customer service never responds properly.,Negative,-0.89
COMP00245,CUST19216,2025-09-01,Coverage,Twitter,Internet speed is very good and stable.,Positive,0.9
COMP00246,CUST61824,2024-09-08,Network,Call,Internet speed is acceptable.,Neutral,-0.12
COMP00247,CUST74145,2025-09-12,Activation,App,I am satisfied with the service quality.,Positive,0.65
COMP00248,CUST72268,2025-09-12,Billing,Twitter,Billing was clear and transparent this month.,Positive,0.53
COMP00249,CUST25469,2024-11-01,Customer Service,Web,eSIM activation failed multiple times.,Negative,-0.89
COMP00250,CUST95977,2024-03-22,Network,App,I am being charged incorrectly every month.,Negative,-0.9
COMP00251,CUST26621,2024-06-03,Coverage,Web,Service is neither good nor bad.,Neutral,-0.16
COMP00252,CUST40542,2025-09-23,Plans,Email,The plan offers great value for money.,Positive,0.77
COMP00253,CUST65644,2025-04-29,Activation,Twitter,Billing was clear and transparent this month.,Positive,0.59
COMP00254,CUST58724,2025-02-17,Customer Service,App,I am satisfied with the service quality.,Positive,0.99
COMP00255,CUST10257,2025-09-07,Billing,Web,The plan offers great value for money.,Positive,0.59
COMP00256,CUST30477,2024-10-21,Speed,App,"Billing is okay, nothing special.",Neutral,0.04
COMP00257,CUST54303,2025-04-26,Portability,Twitter,Service is neither good nor bad.,Neutral,-0.16
COMP00258,CUST41526,2025-08-15,Network,Web,I am satisfied with the service quality.,Positive,0.72
COMP00259,CUST78205,2025-05-02,Speed,App,Plan is okay compared to others.,Neutral,-0.11
COMP00260,CUST25109,2024-07-30,Activation,Call,Internet speed is acceptable.,Neutral,0.16
COMP00261,CUST24386,2024-02-21,Billing,Web,"Billing is okay, nothing special.",Neutral,-0.06
COMP00262,CUST96797,2024-01-27,Network,Twitter,Internet speed is very good and stable.,Positive,0.54
COMP00263,CUST67074,2024-09-17,Activation,App,Activation took some time.,Neutral,0.11
COMP00264,CUST23556,2024-02-28,Coverage,App,eSIM activation failed multiple times.,Negative,-0.31
COMP00265,CUST40251,2024-12-10,Billing,Call,Plan is okay compared to others.,Neutral,-0.19
COMP00266,CUST29453,2024-09-20,Network,Call,Service is neither good nor bad.,Neutral,0.13
COMP00267,CUST31506,2025-08-06,Speed,Email,Customer support resolved my issue quickly.,Positive,0.75
COMP00268,CUST52688,2025-02-06,Portability,Call,The plan is too expensive for the service provided.,Negative,-0.68
COMP00269,CUST85332,2025-02-23,Speed,App,Network works fine but could be better.,Neutral,-0.11
COMP00270,CUST72411,2025-05-09,Billing,App,Network works fine but could be better.,Neutral,0.08
COMP00271,CUST21704,2025-01-22,Customer Service,Call,I am being charged incorrectly every month.,Negative,-0.85
COMP00272,CUST13195,2025-05-16,Plans,App,Internet speed is extremely slow.,Negative,-0.5
COMP00273,CUST41502,2024-10-04,Speed,Twitter,Internet speed is extremely slow.,Negative,-0.95
COMP00274,CUST29020,2025-09-19,Network,Call,Service is neither good nor bad.,Neutral,0.02
COMP00275,CUST96895,2024-04-06,Portability,Web,"Billing is okay, nothing special.",Neutral,-0.19
COMP00276,CUST95837,2025-05-11,Portability,Web,Plan is okay compared to others.,Neutral,0.09
COMP00277,CUST97678,2025-02-23,Billing,Call,Internet speed is extremely slow.,Negative,-0.86
COMP00278,CUST57241,2025-02-07,Customer Service,Web,Plan is okay compared to others.,Neutral,0.19
COMP00279,CUST53854,2025-01-26,Speed,Web,Network is very poor in my area.,Negative,-0.89
COMP00280,CUST15918,2024-02-15,Activation,Email,Customer service never responds properly.,Negative,-0.64
COMP00281,CUST46515,2024-08-30,Plans,Web,I am being charged incorrectly every month.,Negative,-0.47
COMP00282,CUST21570,2024-07-10,Portability,Call,eSIM activation failed multiple times.,Negative,-0.46
COMP00283,CUST77485,2024-07-22,Billing,Call,Service is neither good nor bad.,Neutral,-0.01
COMP00284,CUST52493,2025-05-25,Billing,Twitter,Customer service never responds properly.,Negative,-0.37
COMP00285,CUST59985,2025-06-08,Activation,Call,Activation took some time.,Neutral,0.15
COMP00286,CUST34949,2025-09-10,Customer Service,App,The network quality has improved a lot recently.,Positive,0.36
COMP00287,CUST54446,2025-05-30,Network,Web,Activation was smooth and hassle free.,Positive,0.59
COMP00288,CUST96023,2025-09-18,Portability,Web,The plan is too expensive for the service provided.,Negative,-0.55
COMP00289,CUST61623,2024-10-13,Coverage,Twitter,Service is neither good nor bad.,Neutral,0.11
COMP00290,CUST69823,2024-10-31,Speed,Web,Activation took some time.,Neutral,-0.06
