ComplaintID,CustomerID,Date,IssueCategory,Channel,ComplaintText,Sentiment
COMP0000075,CUST100070,2024-03-29,Billing,Call,Unexpected charges on my account. Please resolve ASAP.,Neutral
COMP0000076,CUST100071,2024-09-18,Activation,Twitter,eSIM activation failed twice. Kindly look into this.,Neutral
COMP0000077,CUST100071,2024-10-13,Speed,Call,Downloads are extremely slow in the evening. Requesting a quick fix.,Negative
COMP0000078,CUST100072,2024-08-05,Network,App,Frequent call drops in my area. Requesting a quick fix.,Negative
COMP0000079,CUST100072,2024-07-01,Customer_Service,Call,Agent promised a callback that never came. Kindly look into this.,Negative
COMP0000080,CUST100073,2025-08-01,Activation,Twitter,KYC done but still not activated. Please resolve ASAP.,Negative
COMP0000081,CUST100074,2024-01-11,Activation,Web,eSIM activation failed twice. Kindly look into this.,Negative
COMP0000082,CUST100075,2025-08-12,Network,Twitter,Frequent call drops in my area. Kindly look into this.,Negative
COMP0000083,CUST100078,2024-10-28,Network,Email,No signal inside my home for hours.,Negative
COMP0000084,CUST100080,2024-07-22,Speed,Twitter,Streaming keeps buffering.,Negative
COMP0000085,CUST100081,2024-12-06,Portability,Email,Porting code (UPC) not received.,Negative
COMP0000086,CUST100085,2025-04-20,Network,Call,Network keeps disconnecting frequently.,Negative
COMP0000087,CUST100085,2025-01-06,Value,Call,Not satisfied with the value of the service. Kindly look into this.,Negative
COMP0000088,CUST100086,2025-04-30,Portability,Call,Issues while porting my number.,Negative
COMP0000089,CUST100087,2024-11-07,Customer_Service,App,Agent promised a callback that never came.,Positive
COMP0000090,CUST100087,2025-07-27,Value,Email,Not satisfied with the value of the service. Requesting a quick fix.,Negative
COMP0000091,CUST100088,2024-12-16,Activation,Email,KYC done but still not activated. Requesting a quick fix.,Positive
COMP0000092,CUST100089,2025-06-08,Coverage,Email,Poor coverage in my neighborhood. Please resolve ASAP.,Neutral
COMP0000093,CUST100089,2024-11-15,Billing,Email,I was double charged and need a refund. Requesting a quick fix.,Negative
COMP0000094,CUST100089,2025-10-23,Speed,Call,Speed fluctuates a lot while working.,Negative
COMP0000095,CUST100090,2024-11-25,Coverage,Web,Coverage maps seem inaccurate.,Negative
COMP0000096,CUST100090,2025-03-07,Coverage,Call,Signal is weak along my commute route. Requesting a quick fix.,Negative
COMP0000097,CUST100092,2024-10-23,Portability,Web,Port request denied without reason.,Neutral
COMP0000098,CUST100092,2025-02-24,Activation,Call,Port-in request stuck at activation.,Negative
COMP0000099,CUST100092,2024-09-18,Customer_Service,Twitter,Support is not responding to tickets. Requesting a quick fix.,Negative
COMP0000100,CUST100093,2024-01-11,Speed,App,Downloads are extremely slow in the evening.,Negative
COMP0000101,CUST100094,2025-09-11,Coverage,Web,Signal is weak along my commute route.,Negative
COMP0000102,CUST100098,2024-07-29,Billing,App,Unexpected charges on my account. Kindly look into this.,Negative
COMP0000103,CUST100105,2024-12-17,Network,Email,SIM shows no service randomly. Kindly look into this.,Negative
COMP0000104,CUST100106,2025-08-09,Billing,App,My bill is incorrect this month. Please resolve ASAP.,Neutral
COMP0000105,CUST100106,2024-02-08,Coverage,Call,Coverage maps seem inaccurate. Requesting a quick fix.,Neutral
COMP0000106,CUST100108,2024-03-05,Value,App,Plan price is too high for the benefits. Please resolve ASAP.,Neutral
COMP0000107,CUST100110,2024-07-25,Network,Email,Frequent call drops in my area. Kindly look into this.,Negative
COMP0000108,CUST100111,2024-12-16,Customer_Service,Twitter,Long wait times when I call customer care.,Negative
COMP0000109,CUST100111,2025-05-02,Portability,App,Issues while porting my number. Kindly look into this.,Neutral
COMP0000110,CUST100112,2025-04-04,Value,Call,Not satisfied with the value of the service. Kindly look into this.,Negative
COMP0000111,CUST100112,2025-04-12,Customer_Service,Web,Agent promised a callback that never came.,Negative
COMP0000112,CUST100112,2024-07-22,Coverage,Call,Poor coverage in my neighborhood.,Negative
COMP0000113,CUST100114,2024-03-18,Coverage,Call,Signal is weak along my commute route. Please resolve ASAP.,Negative
COMP0000114,CUST100115,2025-10-15,Billing,Email,I was double charged and need a refund. Requesting a quick fix.,Negative
COMP0000115,CUST100117,2024-01-26,Customer_Service,Web,Chat support keeps closing my case. Kindly look into this.,Negative
COMP0000116,CUST100119,2024-10-07,Activation,Email,Port-in request stuck at activation.,Neutral
COMP0000117,CUST100119,2025-08-11,Activation,Call,eSIM activation failed twice.,Positive
COMP0000118,CUST100119,2024-02-11,Billing,Twitter,My bill is incorrect this month. Requesting a quick fix.,Negative
COMP0000119,CUST100120,2025-10-24,Customer_Service,Call,Chat support keeps closing my case.,Negative
COMP0000120,CUST100120,2024-12-22,Value,App,Not satisfied with the value of the service. Kindly look into this.,Neutral
COMP0000121,CUST100122,2024-10-26,Billing,Call,Unexpected charges on my account.,Negative
COMP0000122,CUST100124,2025-01-10,Network,Twitter,No signal inside my home for hours. Please resolve ASAP.,Negative
COMP0000123,CUST100124,2025-01-26,Speed,Twitter,Speed fluctuates a lot while working. Kindly look into this.,Negative
COMP0000124,CUST100126,2025-09-12,Customer_Service,Email,Support is not responding to tickets.,Negative
COMP0000125,CUST100126,2025-05-28,Billing,Call,I was double charged and need a refund. Requesting a quick fix.,Negative
COMP0000126,CUST100127,2024-09-16,Activation,Twitter,KYC done but still not activated.,Neutral
COMP0000127,CUST100127,2025-08-28,Speed,Call,Internet speed is far below plan speed.,Negative
COMP0000128,CUST100128,2025-06-17,Network,Twitter,Network keeps disconnecting frequently.,Neutral
COMP0000129,CUST100129,2025-06-19,Activation,Email,Port-in request stuck at activation.,Negative
COMP0000130,CUST100129,2024-08-11,Portability,Twitter,Port request denied without reason. Kindly look into this.,Negative
COMP0000131,CUST100130,2025-07-11,Coverage,App,Signal is weak along my commute route.,Negative
COMP0000132,CUST100130,2024-08-25,Coverage,Twitter,Signal is weak along my commute route. Please resolve ASAP.,Neutral
COMP0000133,CUST100131,2025-05-17,Network,Call,No signal inside my home for hours. Kindly look into this.,Neutral
COMP0000134,CUST100131,2024-05-28,Speed,Call,Speed fluctuates a lot while working.,Negative
COMP0000135,CUST100132,2025-04-07,Coverage,Twitter,Signal is weak along my commute route.,Neutral
COMP0000136,CUST100132,2025-01-11,Portability,Call,Porting code (UPC) not received. Kindly look into this.,Negative
COMP0000137,CUST100133,2025-10-20,Billing,Email,I was double charged and need a refund. Please resolve ASAP.,Neutral
COMP0000138,CUST100135,2024-06-09,Customer_Service,Call,Long wait times when I call customer care. Please resolve ASAP.,Negative
COMP0000139,CUST100135,2025-04-11,Customer_Service,Twitter,Agent promised a callback that never came.,Negative
COMP0000140,CUST100135,2025-06-10,Speed,Call,Internet speed is far below plan speed. Please resolve ASAP.,Negative
COMP0000141,CUST100136,2025-10-11,Coverage,Email,Signal is weak along my commute route. Requesting a quick fix.,Negative
COMP0000142,CUST100138,2024-08-30,Speed,Twitter,Streaming keeps buffering.,Positive
COMP0000143,CUST100138,2024-07-09,Speed,Twitter,Streaming keeps buffering.,Neutral
COMP0000144,CUST100140,2024-01-07,Network,Twitter,Network keeps disconnecting frequently.,Neutral
COMP0000145,CUST100142,2025-01-19,Activation,Call,New SIM activation is delayed.,Negative
COMP0000146,CUST100144,2024-10-13,Network,Call,Network keeps disconnecting frequently. Please resolve ASAP.,Neutral
COMP0000147,CUST100144,2024-09-24,Speed,Email,Downloads are extremely slow in the evening. Please resolve ASAP.,Neutral
COMP0000148,CUST100146,2024-07-20,Value,Call,Not satisfied with the value of the service.,Neutral
COMP0000149,CUST100146,2024-03-11,Value,Call,Plan price is too high for the benefits.,Neutral
COMP0000150,CUST100146,2025-07-06,Value,Twitter,Hidden charges reduce the value.,Neutral
COMP0000151,CUST100147,2025-02-27,Speed,Twitter,Internet speed is far below plan speed. Requesting a quick fix.,Negative
COMP0000152,CUST100151,2025-09-20,Speed,Call,Internet speed is far below plan speed. Kindly look into this.,Negative
COMP0000153,CUST100151,2024-06-25,Coverage,Call,Signal is weak along my commute route. Kindly look into this.,Negative
COMP0000154,CUST100151,2024-06-20,Network,Twitter,No signal inside my home for hours.,Negative
COMP0000155,CUST100153,2025-09-18,Network,Web,No signal inside my home for hours.,Negative
COMP0000156,CUST100153,2024-09-25,Value,Call,Plan price is too high for the benefits.,Negative
COMP0000157,CUST100153,2024-10-11,Customer_Service,Email,Support is not responding to tickets. Requesting a quick fix.,Negative
COMP0000158,CUST100154,2024-01-26,Network,Email,Network keeps disconnecting frequently. Please resolve ASAP.,Positive
COMP0000159,CUST100155,2024-07-19,Portability,App,Port request denied without reason.,Negative
COMP0000160,CUST100156,2024-05-04,Network,Email,No signal inside my home for hours. Please resolve ASAP.,Neutral
COMP0000161,CUST100159,2024-07-31,Activation,Call,New SIM activation is delayed.,Neutral
COMP0000162,CUST100163,2025-05-11,Activation,Twitter,KYC done but still not activated. Please resolve ASAP.,Neutral
COMP0000163,CUST100165,2024-12-27,Portability,Web,Porting code (UPC) not received.,Neutral
COMP0000164,CUST100168,2024-12-24,Coverage,Web,Poor coverage in my neighborhood. Requesting a quick fix.,Neutral
COMP0000165,CUST100169,2024-03-12,Network,Call,SIM shows no service randomly. Please resolve ASAP.,Neutral
COMP0000166,CUST100170,2025-08-19,Value,Email,Hidden charges reduce the value.,Negative
COMP0000167,CUST100171,2025-04-14,Portability,Call,Need help to port to your network.,Negative
COMP0000168,CUST100172,2024-06-29,Speed,Email,Streaming keeps buffering. Kindly look into this.,Negative
COMP0000169,CUST100173,2024-04-16,Speed,Call,Internet speed is far below plan speed.,Positive
COMP0000170,CUST100174,2024-01-04,Activation,Twitter,KYC done but still not activated. Requesting a quick fix.,Negative
COMP0000171,CUST100174,2024-04-26,Value,Web,Hidden charges reduce the value.,Negative
COMP0000172,CUST100176,2024-01-02,Network,Call,Network keeps disconnecting frequently.,Negative
COMP0000173,CUST100176,2025-08-03,Customer_Service,App,Agent promised a callback that never came. Please resolve ASAP.,Neutral
COMP0000174,CUST100176,2025-10-18,Coverage,Web,No bars in the office basement.,Negative
COMP0000175,CUST100177,2025-05-10,Activation,Email,eSIM activation failed twice.,Negative
COMP0000176,CUST100178,2025-01-26,Network,Web,SIM shows no service randomly.,Negative
COMP0000177,CUST100179,2024-04-09,Network,Web,Frequent call drops in my area. Requesting a quick fix.,Negative
COMP0000178,CUST100180,2025-06-12,Billing,Web,Unexpected charges on my account.,Negative
COMP0000179,CUST100180,2024-08-27,Coverage,Email,Coverage maps seem inaccurate.,Positive
COMP0000180,CUST100180,2024-09-30,Coverage,App,Signal is weak along my commute route.,Negative
COMP0000181,CUST100183,2024-08-16,Portability,Web,Porting code (UPC) not received. Requesting a quick fix.,Neutral
COMP0000182,CUST100183,2025-07-08,Customer_Service,Email,Chat support keeps closing my case.,Negative
COMP0000183,CUST100186,2025-07-31,Value,Email,Hidden charges reduce the value.,Negative
COMP0000184,CUST100186,2025-08-21,Activation,Call,Port-in request stuck at activation. Please resolve ASAP.,Negative
COMP0000185,CUST100186,2024-09-30,Activation,Email,KYC done but still not activated. Please resolve ASAP.,Positive
COMP0000186,CUST100189,2025-03-17,Network,Web,Frequent call drops in my area.,Negative
COMP0000187,CUST100191,2024-12-25,Billing,Web,My bill is incorrect this month.,Negative
COMP0000188,CUST100191,2025-02-02,Speed,Twitter,Speed fluctuates a lot while working.,Negative
COMP0000189,CUST100191,2024-05-17,Customer_Service,Twitter,Agent promised a callback that never came. Requesting a quick fix.,Neutral
COMP0000190,CUST100192,2025-03-11,Network,Web,No signal inside my home for hours.,Neutral
COMP0000191,CUST100192,2024-03-07,Network,Email,Frequent call drops in my area. Please resolve ASAP.,Neutral
COMP0000192,CUST100194,2024-10-31,Coverage,Email,Signal is weak along my commute route. Please resolve ASAP.,Negative
COMP0000193,CUST100194,2025-03-28,Portability,Call,Porting code (UPC) not received. Requesting a quick fix.,Negative
COMP0000194,CUST100194,2024-12-25,Customer_Service,Email,Chat support keeps closing my case.,Negative
COMP0000195,CUST100195,2025-06-09,Customer_Service,Call,Agent promised a callback that never came. Requesting a quick fix.,Positive
COMP0000196,CUST100196,2025-03-12,Coverage,Email,Poor coverage in my neighborhood. Kindly look into this.,Negative
COMP0000197,CUST100196,2025-07-10,Coverage,Call,Signal is weak along my commute route.,Neutral
COMP0000198,CUST100197,2025-08-18,Value,App,Plan price is too high for the benefits.,Negative
COMP0000199,CUST100199,2024-10-27,Activation,Email,New SIM activation is delayed.,Neutral
COMP0000200,CUST100200,2025-05-09,Customer_Service,Call,Support is not responding to tickets.,Negative
COMP0000201,CUST100200,2025-08-26,Billing,Web,My bill is incorrect this month. Kindly look into this.,Negative
COMP0000202,CUST100201,2025-10-20,Coverage,Call,Signal is weak along my commute route. Kindly look into this.,Negative
COMP0000203,CUST100203,2025-10-23,Coverage,Web,Coverage maps seem inaccurate.,Negative
COMP0000204,CUST100203,2025-04-21,Customer_Service,Twitter,Long wait times when I call customer care. Kindly look into this.,Neutral
COMP0000205,CUST100205,2024-07-28,Speed,Twitter,Speed fluctuates a lot while working.,Neutral
COMP0000206,CUST100205,2024-12-17,Customer_Service,Email,Agent promised a callback that never came.,Negative
COMP0000207,CUST100205,2025-04-18,Customer_Service,Email,Long wait times when I call customer care. Please resolve ASAP.,Negative
COMP0000208,CUST100206,2024-09-23,Speed,Email,Streaming keeps buffering.,Negative
COMP0000209,CUST100207,2024-03-05,Value,Email,Hidden charges reduce the value. Please resolve ASAP.,Negative
COMP0000210,CUST100207,2025-07-20,Activation,Email,New SIM activation is delayed. Kindly look into this.,Negative
COMP0000211,CUST100209,2025-01-27,Customer_Service,App,Agent promised a callback that never came.,Neutral
COMP0000212,CUST100209,2024-07-13,Coverage,Email,No bars in the office basement. Kindly look into this.,Neutral
COMP0000213,CUST100209,2024-04-27,Value,Call,Hidden charges reduce the value.,Positive
COMP0000214,CUST100211,2024-10-23,Coverage,Email,Coverage maps seem inaccurate. Please resolve ASAP.,Neutral
COMP0000215,CUST100211,2025-05-21,Billing,Email,Why are fees so high this cycle? Requesting a quick fix.,Negative
COMP0000216,CUST100212,2024-12-03,Speed,Email,Speed fluctuates a lot while working. Please resolve ASAP.,Negative
COMP0000217,CUST100212,2024-05-15,Coverage,Web,Coverage maps seem inaccurate.,Negative
COMP0000218,CUST100212,2025-09-26,Speed,Call,Internet speed is far below plan speed. Please resolve ASAP.,Negative
COMP0000219,CUST100213,2024-11-17,Network,App,Frequent call drops in my area. Kindly look into this.,Negative
COMP0000220,CUST100216,2025-05-15,Coverage,Call,No bars in the office basement. Kindly look into this.,Negative
COMP0000221,CUST100217,2025-07-17,Speed,Call,Streaming keeps buffering. Requesting a quick fix.,Neutral
COMP0000222,CUST100218,2024-03-19,Billing,Twitter,I was double charged and need a refund. Requesting a quick fix.,Negative
COMP0000223,CUST100220,2025-05-16,Activation,Web,New SIM activation is delayed. Please resolve ASAP.,Neutral
COMP0000224,CUST100220,2024-09-24,Billing,Email,Unexpected charges on my account. Please resolve ASAP.,Negative
COMP0000225,CUST100221,2025-01-18,Portability,Twitter,Need help to port to your network.,Negative
COMP0000226,CUST100222,2025-03-26,Coverage,Email,No bars in the office basement. Kindly look into this.,Neutral
COMP0000227,CUST100222,2025-09-13,Billing,Web,My bill is incorrect this month.,Negative
COMP0000228,CUST100223,2025-01-22,Portability,Email,Port request denied without reason.,Negative
COMP0000229,CUST100223,2025-10-22,Network,Call,No signal inside my home for hours.,Neutral
COMP0000230,CUST100224,2024-03-11,Network,Email,SIM shows no service randomly. Please resolve ASAP.,Negative
COMP0000231,CUST100225,2024-04-02,Billing,Email,My bill is incorrect this month. Please resolve ASAP.,Neutral
COMP0000232,CUST100226,2024-12-17,Coverage,Call,No bars in the office basement.,Neutral
COMP0000233,CUST100228,2024-05-28,Speed,Twitter,Downloads are extremely slow in the evening. Kindly look into this.,Negative
COMP0000234,CUST100228,2025-03-06,Value,Call,Competitors offer more data for less.,Neutral
COMP0000235,CUST100228,2024-03-14,Portability,Email,Porting code (UPC) not received. Please resolve ASAP.,Neutral
COMP0000236,CUST100231,2024-12-18,Speed,Email,Streaming keeps buffering.,Negative
COMP0000237,CUST100231,2025-01-19,Speed,Call,Internet speed is far below plan speed. Please resolve ASAP.,Neutral
COMP0000238,CUST100231,2024-09-17,Portability,Call,Need help to port to your network. Please resolve ASAP.,Negative
COMP0000239,CUST100232,2024-12-06,Billing,Email,My bill is incorrect this month.,Neutral
COMP0000240,CUST100232,2025-05-31,Billing,Web,I was double charged and need a refund. Please resolve ASAP.,Negative
COMP0000241,CUST100233,2024-04-01,Activation,Call,KYC done but still not activated. Requesting a quick fix.,Negative
COMP0000242,CUST100233,2024-06-12,Billing,Call,My bill is incorrect this month.,Positive
COMP0000243,CUST100233,2025-05-09,Customer_Service,Web,Chat support keeps closing my case. Please resolve ASAP.,Negative
COMP0000244,CUST100234,2024-07-22,Value,App,Plan price is too high for the benefits.,Neutral
COMP0000245,CUST100239,2025-09-12,Value,Email,Competitors offer more data for less. Please resolve ASAP.,Negative
COMP0000246,CUST100239,2024-05-31,Coverage,Email,No bars in the office basement. Please resolve ASAP.,Negative
COMP0000247,CUST100240,2025-03-21,Network,Call,No signal inside my home for hours.,Negative
COMP0000248,CUST100240,2024-06-28,Billing,Twitter,I was double charged and need a refund.,Negative
COMP0000249,CUST100241,2024-02-04,Portability,Call,Port request denied without reason.,Neutral
COMP0000250,CUST100241,2025-10-27,Customer_Service,Email,Agent promised a callback that never came. Kindly look into this.,Negative
COMP0000251,CUST100242,2024-03-08,Speed,Email,Downloads are extremely slow in the evening.,Negative
COMP0000252,CUST100242,2024-03-18,Billing,Call,My bill is incorrect this month. Kindly look into this.,Negative
COMP0000253,CUST100242,2024-04-28,Customer_Service,Email,Chat support keeps closing my case.,Negative
COMP0000254,CUST100244,2024-02-28,Activation,Email,Port-in request stuck at activation. Please resolve ASAP.,Positive
COMP0000255,CUST100244,2024-05-10,Speed,Email,Downloads are extremely slow in the evening.,Neutral
COMP0000256,CUST100246,2024-11-20,Customer_Service,Email,Chat support keeps closing my case.,Negative
COMP0000257,CUST100247,2025-06-28,Value,Email,Hidden charges reduce the value.,Neutral
COMP0000258,CUST100247,2024-02-02,Portability,Email,Port request denied without reason. Kindly look into this.,Negative
COMP0000259,CUST100248,2024-06-07,Value,App,Plan price is too high for the benefits.,Negative
COMP0000260,CUST100252,2025-06-20,Customer_Service,Email,Agent promised a callback that never came.,Negative
COMP0000261,CUST100253,2024-10-02,Value,Call,Plan price is too high for the benefits. Please resolve ASAP.,Neutral
COMP0000262,CUST100254,2025-05-28,Network,Call,Network keeps disconnecting frequently.,Negative
COMP0000263,CUST100254,2024-07-31,Coverage,Web,Signal is weak along my commute route. Kindly look into this.,Neutral
COMP0000264,CUST100256,2025-06-30,Portability,App,Issues while porting my number.,Neutral
COMP0000265,CUST100257,2025-10-11,Network,Call,Network keeps disconnecting frequently. Please resolve ASAP.,Negative
COMP0000266,CUST100260,2025-02-23,Coverage,Call,Poor coverage in my neighborhood. Kindly look into this.,Neutral
COMP0000267,CUST100260,2025-01-30,Value,Web,Competitors offer more data for less. Please resolve ASAP.,Neutral
COMP0000268,CUST100260,2024-03-30,Customer_Service,Email,Support is not responding to tickets.,Neutral
COMP0000269,CUST100261,2024-08-21,Coverage,App,Signal is weak along my commute route. Kindly look into this.,Neutral
COMP0000270,CUST100262,2024-01-11,Billing,Call,Why are fees so high this cycle?,Negative
COMP0000271,CUST100263,2024-07-29,Billing,Email,Why are fees so high this cycle?,Negative
COMP0000272,CUST100263,2024-11-05,Portability,Twitter,Need help to port to your network.,Negative
COMP0000273,CUST100263,2025-03-03,Activation,Call,eSIM activation failed twice.,Negative
COMP0000274,CUST100264,2024-01-07,Portability,Call,Need help to port to your network. Requesting a quick fix.,Neutral
COMP0000275,CUST100265,2024-05-15,Customer_Service,App,Long wait times when I call customer care. Kindly look into this.,Negative
COMP0000276,CUST100269,2024-03-19,Customer_Service,App,Agent promised a callback that never came. Kindly look into this.,Negative
COMP0000277,CUST100269,2025-08-29,Coverage,Call,Poor coverage in my neighborhood.,Neutral
COMP0000278,CUST100270,2024-07-19,Billing,Web,I was double charged and need a refund. Kindly look into this.,Neutral
COMP0000279,CUST100270,2024-09-11,Coverage,App,No bars in the office basement. Kindly look into this.,Negative
COMP0000280,CUST100275,2024-03-06,Customer_Service,Call,Agent promised a callback that never came. Please resolve ASAP.,Negative
COMP0000281,CUST100276,2025-07-06,Activation,App,New SIM activation is delayed.,Negative
