CustomerID,Gender,Age,PlanType,ContractType,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,TenureMonths,PaymentMethod,Region,MonthlyCharges,TotalCharges,SupportCallsLast90d,AvgDownlinkMbps,ChurnProb,Churn
CUST100029,Male,32,Prepaid,One year,Yes,Yes,None,None,Yes,No,No,42,UPI,East,249.67,10691.49,0,12.0,0.197,No
CUST100030,Male,37,Prepaid,Month-to-month,No,Yes,Fiber,None,Yes,Yes,No,18,Card,North,975.63,17757.59,2,102.2,0.412,Yes
CUST100031,Male,70,Postpaid,One year,Yes,No,None,No,No,No,No,72,Card,North,150.94,11002.55,0,18.0,0.134,No
CUST100032,Male,40,Prepaid,One year,Yes,No,Fiber,No,No,No,No,20,BankTransfer,South,938.56,18616.02,2,129.6,0.228,No
CUST100033,Female,27,Postpaid,Month-to-month,Yes,Yes,DSL,No,No,None,Yes,63,Card,North,746.32,46827.46,2,24.3,0.288,No
CUST100034,Female,19,Postpaid,Two year,Yes,No,None,Yes,None,No,No,59,UPI,North,218.49,13074.1,1,13.9,0.169,Yes
CUST100035,Male,32,Prepaid,Two year,Yes,No,Fiber,None,Yes,Yes,Yes,30,UPI,West,932.01,27719.47,2,117.5,0.217,No
CUST100036,Female,75,Postpaid,Two year,No,No,DSL,Yes,No,Yes,No,14,Wallet,West,594.67,8188.3,1,30.3,0.42,No
CUST100037,Female,52,Prepaid,One year,Yes,Yes,Fiber,No,No,No,No,70,BankTransfer,North,884.87,62370.13,2,118.5,0.054,No
CUST100038,Male,80,Postpaid,Month-to-month,Yes,Yes,DSL,No,Yes,No,No,41,BankTransfer,East,595.01,24496.98,1,22.8,0.415,No
CUST100039,Female,31,Postpaid,Month-to-month,Yes,Yes,None,No,No,None,Yes,24,BankTransfer,South,261.4,6305.49,2,1.0,0.616,Yes
CUST100040,Male,40,Prepaid,Month-to-month,Yes,No,None,No,No,Yes,No,11,Card,South,274.28,2646.69,2,32.3,0.645,Yes
CUST100041,Female,28,Prepaid,Month-to-month,Yes,Yes,DSL,No,No,Yes,Yes,24,UPI,West,675.58,16079.69,2,36.3,0.578,No
CUST100042,Female,43,Prepaid,One year,Yes,No,Fiber,Yes,None,No,Yes,47,Card,North,906.54,42774.59,2,121.4,0.135,No
CUST100043,Male,53,Prepaid,One year,Yes,Yes,DSL,Yes,Yes,Yes,No,36,UPI,West,501.14,17744.38,1,48.1,0.19,Yes
CUST100044,Male,68,Prepaid,Month-to-month,Yes,Yes,None,Yes,No,No,Yes,4,Card,South,288.43,1234.26,2,1.0,0.843,No
CUST100045,Female,41,Postpaid,Month-to-month,No,No,Fiber,None,None,Yes,No,56,Wallet,East,1089.51,60736.13,4,117.5,0.292,No
CUST100046,Male,66,Prepaid,One year,Yes,No,None,Yes,Yes,No,None,23,Card,West,150.0,3325.22,1,1.0,0.433,Yes
CUST100047,Female,57,Postpaid,Month-to-month,Yes,Yes,DSL,None,No,Yes,Yes,14,Card,East,623.79,8418.37,3,25.1,0.725,Yes
CUST100048,Female,36,Prepaid,Two year,Yes,Yes,Fiber,Yes,None,No,No,51,UPI,East,924.26,47156.28,2,120.3,0.116,No
CUST100049,Female,75,Postpaid,One year,No,No,Fiber,None,Yes,No,No,54,Card,North,940.68,50456.59,2,115.6,0.092,No
CUST100050,Female,45,Prepaid,Month-to-month,Yes,Yes,DSL,No,Yes,Yes,No,59,Card,East,580.78,34249.26,3,12.2,0.384,Yes
CUST100051,Male,27,Postpaid,Month-to-month,Yes,No,Fiber,No,Yes,No,No,0,Wallet,South,1032.6,127.75,2,109.8,0.534,No
CUST100052,Male,78,Postpaid,One year,Yes,No,DSL,No,Yes,No,No,28,Card,South,643.75,18064.97,0,20.8,0.237,No
CUST100053,Male,75,Prepaid,Month-to-month,Yes,Yes,None,No,No,No,No,19,BankTransfer,North,229.52,4453.84,1,1.0,0.714,Yes
CUST100054,Male,21,Postpaid,One year,No,No,None,No,Yes,No,No,42,BankTransfer,East,283.82,11965.61,0,1.0,0.278,No
CUST100055,Male,74,Prepaid,Month-to-month,No,Yes,Fiber,Yes,No,No,No,71,Card,South,1008.55,71588.87,2,118.2,0.139,Yes
CUST100056,Female,77,Postpaid,Month-to-month,Yes,No,DSL,None,No,No,No,8,Card,North,669.45,5341.91,1,28.5,0.655,Yes
CUST100057,Male,70,Postpaid,Month-to-month,Yes,No,Fiber,No,Yes,No,No,47,UPI,East,1096.73,51604.92,2,98.5,0.322,No
CUST100058,Female,34,Postpaid,One year,No,No,None,Yes,No,No,No,32,Wallet,South,168.77,5182.28,2,1.0,0.36,No
CUST100059,Female,57,Prepaid,Two year,Yes,No,None,Yes,Yes,Yes,Yes,33,BankTransfer,East,150.0,4870.81,0,7.2,0.239,No
CUST100060,Female,51,Prepaid,Two year,Yes,No,Fiber,No,No,No,No,68,Card,West,882.37,60407.97,0,118.9,0.073,No
CUST100061,Female,57,Prepaid,Month-to-month,No,Yes,Fiber,None,Yes,None,No,53,Card,South,992.57,52703.16,2,102.4,0.2,No
CUST100062,Male,56,Prepaid,One year,Yes,Yes,None,No,Yes,No,No,6,UPI,East,150.0,1149.83,1,13.0,0.556,No
CUST100063,Female,58,Prepaid,Month-to-month,Yes,Yes,DSL,Yes,None,No,Yes,31,UPI,West,600.09,18670.86,4,36.1,0.592,Yes
CUST100064,Male,50,Postpaid,Month-to-month,Yes,No,Fiber,No,No,No,No,54,Card,East,1102.54,59390.78,2,143.3,0.184,No
CUST100065,Male,61,Postpaid,Two year,Yes,No,DSL,Yes,No,No,None,7,UPI,West,532.4,3665.88,1,47.6,0.405,Yes
CUST100066,Female,51,Postpaid,Month-to-month,Yes,No,DSL,Yes,No,No,Yes,36,Wallet,North,599.2,21222.74,1,21.5,0.385,Yes
CUST100067,Male,19,Prepaid,Two year,Yes,No,DSL,No,No,Yes,No,36,Wallet,South,468.87,17154.2,2,28.7,0.267,No
CUST100068,Male,20,Prepaid,Month-to-month,Yes,No,Fiber,Yes,Yes,Yes,Yes,5,BankTransfer,East,969.89,5028.54,6,120.3,0.708,Yes
CUST100069,Male,78,Postpaid,Month-to-month,Yes,Yes,DSL,No,No,Yes,No,69,Wallet,South,776.08,53382.24,1,42.8,0.178,No
CUST100070,Female,75,Prepaid,Month-to-month,Yes,Yes,DSL,Yes,No,No,Yes,27,UPI,North,632.3,17224.95,3,27.1,0.548,No
CUST100071,Male,54,Prepaid,Two year,No,No,DSL,Yes,None,No,None,19,Card,South,533.36,10268.76,2,43.5,0.436,No
CUST100072,Male,28,Postpaid,Month-to-month,Yes,Yes,None,Yes,No,None,No,6,UPI,East,275.21,1666.71,2,7.8,0.733,Yes
CUST100073,Male,67,Postpaid,One year,Yes,Yes,DSL,Yes,No,Yes,None,3,BankTransfer,West,691.69,2170.3,1,22.0,0.454,No
CUST100074,Female,27,Postpaid,Month-to-month,Yes,Yes,DSL,No,No,Yes,Yes,14,BankTransfer,East,616.95,8751.31,2,18.2,0.73,Yes
CUST100075,Male,41,Prepaid,One year,Yes,No,Fiber,None,No,No,No,54,Wallet,West,910.42,49239.59,2,130.2,0.132,No
CUST100076,Male,38,Postpaid,Month-to-month,Yes,Yes,DSL,Yes,Yes,Yes,Yes,19,UPI,South,735.64,14007.39,2,39.7,0.579,Yes
CUST100077,Male,18,Prepaid,Month-to-month,Yes,No,None,None,No,No,Yes,33,UPI,West,204.12,6753.11,2,15.9,0.392,No
CUST100078,Female,68,Prepaid,One year,Yes,Yes,Fiber,No,Yes,Yes,None,48,Card,North,912.59,43690.86,0,94.2,0.085,No
CUST100079,Female,50,Postpaid,One year,Yes,Yes,DSL,Yes,No,Yes,No,24,UPI,West,571.93,13907.99,0,28.7,0.284,No
CUST100080,Female,37,Prepaid,Month-to-month,Yes,No,DSL,Yes,No,No,No,29,BankTransfer,West,726.59,21467.4,1,42.5,0.542,No
CUST100081,Male,49,Postpaid,Month-to-month,Yes,No,None,Yes,Yes,No,No,35,UPI,West,382.23,13154.06,5,1.0,0.674,Yes
CUST100082,Male,18,Postpaid,Month-to-month,Yes,No,Fiber,No,No,Yes,No,66,Card,West,1100.49,72639.22,2,125.7,0.114,No
CUST100083,Female,45,Prepaid,Two year,Yes,Yes,Fiber,No,Yes,Yes,Yes,67,UPI,West,909.83,60827.9,0,114.5,0.081,No
CUST100084,Female,50,Postpaid,One year,Yes,No,Fiber,Yes,Yes,Yes,None,21,Card,North,1039.17,21932.66,2,110.6,0.274,No
CUST100085,Female,39,Postpaid,One year,Yes,No,Fiber,Yes,No,Yes,No,18,UPI,West,1019.62,18438.46,2,112.7,0.332,No
CUST100086,Male,70,Postpaid,One year,Yes,No,DSL,Yes,No,None,None,29,Card,North,608.79,17681.85,0,45.8,0.237,Yes
CUST100087,Male,33,Postpaid,One year,Yes,Yes,Fiber,No,No,No,No,14,Wallet,West,977.47,13566.3,2,129.0,0.191,No
CUST100088,Female,26,Postpaid,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,41,BankTransfer,East,649.22,26523.42,1,28.8,0.306,No
CUST100089,Female,51,Prepaid,Month-to-month,Yes,Yes,DSL,No,No,No,No,38,BankTransfer,South,654.81,24730.65,1,52.0,0.325,Yes
CUST100090,Male,73,Postpaid,One year,Yes,No,DSL,No,Yes,Yes,Yes,33,Card,South,606.96,19685.37,2,12.1,0.393,Yes
CUST100091,Female,41,Postpaid,Month-to-month,Yes,No,None,No,No,Yes,None,33,UPI,North,353.43,11909.02,3,1.0,0.619,Yes
CUST100092,Female,20,Prepaid,Month-to-month,Yes,No,DSL,Yes,No,None,No,62,Card,East,617.05,38390.83,1,46.0,0.325,No
CUST100093,Male,79,Prepaid,One year,Yes,Yes,DSL,No,No,Yes,No,10,Card,East,503.74,5295.46,2,28.2,0.493,Yes
CUST100094,Female,45,Postpaid,Two year,Yes,Yes,Fiber,No,No,None,None,55,UPI,South,876.94,48161.94,2,117.9,0.105,No
CUST100095,Male,28,Postpaid,One year,No,Yes,Fiber,No,Yes,No,Yes,42,Card,South,961.59,40484.79,2,118.8,0.125,No
CUST100096,Male,56,Postpaid,Month-to-month,Yes,No,Fiber,No,No,No,Yes,57,Wallet,North,1008.1,57292.17,2,115.4,0.236,No
CUST100097,Female,38,Postpaid,Two year,Yes,Yes,DSL,No,No,No,Yes,41,Wallet,South,607.38,24788.66,0,39.3,0.265,No
CUST100098,Female,77,Postpaid,Month-to-month,Yes,Yes,DSL,Yes,Yes,Yes,No,56,Wallet,East,658.74,37299.32,2,21.7,0.325,Yes
CUST100099,Male,36,Postpaid,Month-to-month,Yes,Yes,Fiber,No,No,No,No,44,Card,East,1041.61,45756.21,2,146.9,0.207,No
CUST100100,Female,52,Postpaid,Two year,Yes,Yes,DSL,No,No,No,Yes,51,UPI,North,573.99,29462.96,0,15.9,0.202,No
CUST100101,Male,52,Prepaid,One year,Yes,No,DSL,No,Yes,No,No,30,Card,East,647.45,19473.73,0,46.9,0.212,No
CUST100102,Female,33,Prepaid,Two year,Yes,Yes,None,No,No,Yes,No,65,UPI,West,150.0,9471.02,1,13.3,0.092,No
CUST100103,Male,49,Postpaid,One year,Yes,No,DSL,None,None,Yes,No,21,UPI,West,543.3,11382.39,0,23.2,0.352,No
CUST100104,Female,24,Postpaid,One year,Yes,No,DSL,None,Yes,Yes,Yes,52,UPI,North,580.22,30247.0,0,32.6,0.181,No
CUST100105,Female,58,Postpaid,Month-to-month,Yes,No,Fiber,Yes,Yes,Yes,Yes,23,Card,West,987.06,22844.33,2,128.4,0.32,Yes
CUST100106,Female,65,Prepaid,Month-to-month,Yes,No,Fiber,Yes,No,No,No,57,Card,North,1055.73,59819.2,2,126.3,0.183,No
CUST100107,Female,77,Prepaid,Two year,Yes,No,Fiber,None,No,None,Yes,60,Card,North,928.85,55537.93,4,101.0,0.231,No
CUST100108,Male,38,Postpaid,Two year,Yes,No,DSL,No,No,No,No,13,Card,North,528.03,6926.49,0,33.9,0.44,Yes
CUST100109,Female,35,Postpaid,Month-to-month,Yes,Yes,DSL,None,No,No,No,45,Card,South,623.98,27890.93,1,16.1,0.436,Yes
CUST100110,Male,52,Prepaid,Month-to-month,Yes,No,Fiber,No,No,No,None,38,Wallet,West,1150.02,43944.55,2,130.5,0.257,No
CUST100111,Female,61,Postpaid,Month-to-month,Yes,Yes,DSL,None,No,No,Yes,29,Card,West,618.53,17924.92,3,40.7,0.591,Yes
CUST100112,Female,80,Postpaid,Month-to-month,No,Yes,DSL,Yes,Yes,No,Yes,20,Card,South,642.49,12947.11,2,16.3,0.536,No
CUST100113,Male,19,Postpaid,Two year,No,No,Fiber,No,No,No,No,44,Wallet,South,951.71,42134.41,2,100.2,0.167,No
CUST100114,Female,33,Prepaid,Month-to-month,Yes,No,DSL,No,Yes,Yes,Yes,60,Wallet,North,673.04,40139.48,2,27.0,0.295,Yes
CUST100115,Female,34,Postpaid,Month-to-month,Yes,Yes,DSL,Yes,None,None,No,25,UPI,West,672.47,16904.23,2,27.6,0.62,No
CUST100116,Male,34,Postpaid,Two year,Yes,Yes,DSL,Yes,Yes,Yes,No,24,BankTransfer,North,551.77,13269.43,0,30.1,0.206,No
CUST100117,Male,47,Postpaid,Month-to-month,No,Yes,Fiber,Yes,Yes,No,Yes,62,Card,North,1110.6,68890.23,2,124.2,0.275,Yes
CUST100118,Male,72,Prepaid,Month-to-month,Yes,No,DSL,Yes,No,No,None,55,UPI,West,790.28,43420.65,2,28.5,0.338,No
CUST100119,Male,19,Postpaid,Month-to-month,Yes,Yes,DSL,None,Yes,No,No,53,Wallet,North,651.04,34536.97,1,31.0,0.412,Yes
CUST100120,Male,69,Postpaid,Month-to-month,Yes,No,None,None,No,No,No,43,UPI,North,254.5,10358.35,1,1.0,0.466,Yes
CUST100121,Female,56,Prepaid,Month-to-month,Yes,Yes,Fiber,None,None,Yes,None,7,Card,West,1024.62,7421.17,2,109.7,0.56,No
CUST100122,Female,56,Postpaid,Month-to-month,Yes,No,Fiber,None,No,No,None,10,UPI,North,1113.95,10872.26,2,126.0,0.501,Yes
CUST100123,Male,60,Postpaid,Month-to-month,Yes,No,Fiber,No,Yes,No,Yes,4,BankTransfer,North,1206.26,5179.95,2,125.2,0.547,Yes
CUST100124,Female,25,Postpaid,Month-to-month,Yes,No,Fiber,None,Yes,No,No,22,Wallet,South,1074.46,23448.24,2,116.4,0.388,No
CUST100125,Female,65,Prepaid,Month-to-month,Yes,No,None,Yes,No,No,No,2,UPI,South,257.73,316.9,1,1.0,0.735,No
CUST100126,Male,33,Postpaid,Month-to-month,Yes,Yes,None,Yes,No,No,No,34,Card,West,172.04,5930.38,3,20.5,0.508,No
CUST100127,Female,50,Prepaid,Two year,Yes,No,DSL,None,Yes,None,No,2,BankTransfer,East,503.23,1060.74,0,47.1,0.452,Yes
CUST100128,Female,60,Postpaid,Month-to-month,Yes,Yes,DSL,No,Yes,Yes,No,72,Card,South,679.29,48999.03,1,41.4,0.211,No
CUST100129,Female,56,Postpaid,Month-to-month,Yes,Yes,Fiber,No,No,Yes,No,36,Card,North,1130.96,40786.93,4,126.3,0.361,Yes
CUST100130,Female,38,Prepaid,Two year,Yes,Yes,DSL,No,Yes,Yes,No,0,Card,North,474.13,0.0,0,19.1,0.468,No
CUST100131,Female,42,Prepaid,Month-to-month,Yes,No,Fiber,Yes,No,None,Yes,13,UPI,West,968.88,12521.92,2,132.8,0.449,Yes
CUST100132,Male,48,Prepaid,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,13,UPI,North,641.48,8455.7,3,35.8,0.701,No
CUST100133,Female,20,Postpaid,One year,Yes,Yes,Fiber,No,No,No,Yes,49,BankTransfer,North,922.05,45042.12,2,109.8,0.123,No
CUST100134,Female,63,Postpaid,Month-to-month,Yes,No,Fiber,No,No,No,No,56,Card,North,1039.81,58253.22,2,127.1,0.151,No
CUST100135,Male,24,Postpaid,Month-to-month,Yes,Yes,DSL,No,Yes,Yes,Yes,35,UPI,East,682.75,23557.32,4,24.9,0.612,No
CUST100136,Female,46,Prepaid,One year,Yes,Yes,Fiber,No,No,No,No,53,BankTransfer,West,830.16,44049.28,2,128.3,0.11,No
CUST100137,Male,59,Prepaid,One year,Yes,Yes,Fiber,No,Yes,No,Yes,6,UPI,South,937.21,5642.95,0,131.4,0.252,No
CUST100138,Male,23,Prepaid,Month-to-month,Yes,No,Fiber,No,None,Yes,No,22,BankTransfer,North,1109.02,24390.25,4,125.2,0.482,No
CUST100139,Male,80,Postpaid,Month-to-month,Yes,No,Fiber,No,No,No,No,0,Wallet,West,999.45,341.24,2,111.7,0.632,No
CUST100140,Female,41,Postpaid,Month-to-month,Yes,Yes,DSL,No,Yes,None,No,29,Card,North,645.83,19028.04,2,36.2,0.461,Yes
CUST100141,Male,18,Postpaid,One year,No,Yes,DSL,None,No,Yes,No,2,Wallet,South,629.42,1441.73,0,35.6,0.408,Yes
CUST100142,Male,59,Prepaid,Month-to-month,Yes,No,Fiber,No,None,No,No,57,Wallet,South,1070.77,61212.38,4,113.0,0.243,No
CUST100143,Male,53,Postpaid,Month-to-month,Yes,No,Fiber,None,No,No,Yes,38,UPI,South,1082.9,41171.34,2,116.6,0.301,No
CUST100144,Female,58,Prepaid,Month-to-month,Yes,Yes,Fiber,No,No,Yes,No,54,BankTransfer,North,1020.69,55178.74,2,139.0,0.154,No
CUST100145,Female,65,Postpaid,Two year,Yes,No,DSL,None,No,Yes,No,42,UPI,West,632.67,26658.68,2,46.6,0.22,Yes
CUST100146,Male,47,Postpaid,Month-to-month,No,No,DSL,No,Yes,No,No,2,BankTransfer,North,690.64,1501.78,3,24.5,0.808,Yes
CUST100147,Male,70,Postpaid,Month-to-month,No,No,DSL,No,No,No,None,25,BankTransfer,South,627.12,15692.28,5,9.8,0.728,Yes
CUST100148,Female,41,Postpaid,Month-to-month,Yes,Yes,Fiber,No,Yes,No,No,0,Wallet,East,1086.01,108.42,2,134.8,0.586,No
CUST100149,Male,52,Prepaid,One year,No,No,DSL,No,No,Yes,Yes,5,Card,West,543.25,2729.17,0,51.2,0.391,No
CUST100150,Female,27,Postpaid,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,68,BankTransfer,East,658.07,44833.08,1,45.7,0.178,No
CUST100151,Male,57,Prepaid,Two year,No,Yes,None,Yes,Yes,No,No,68,Card,South,150.0,10383.52,2,1.5,0.205,Yes
CUST100152,Female,34,Postpaid,Month-to-month,Yes,No,DSL,Yes,None,No,Yes,8,Wallet,North,679.65,5305.98,2,36.7,0.651,No
CUST100153,Male,61,Prepaid,Month-to-month,Yes,No,DSL,No,No,No,No,29,Card,South,659.13,19141.24,1,20.8,0.538,No
CUST100154,Male,68,Prepaid,Month-to-month,Yes,No,Fiber,Yes,Yes,Yes,No,21,UPI,East,1067.52,22433.1,2,130.8,0.434,Yes
CUST100155,Female,72,Prepaid,Month-to-month,Yes,No,None,No,No,No,No,31,BankTransfer,South,230.56,6943.71,1,1.0,0.496,No
CUST100156,Male,76,Prepaid,Month-to-month,Yes,Yes,DSL,Yes,No,Yes,Yes,44,UPI,East,631.78,28076.54,3,23.6,0.468,Yes
CUST100157,Female,25,Postpaid,One year,Yes,No,None,Yes,Yes,Yes,No,27,BankTransfer,West,172.0,4478.89,1,4.1,0.31,Yes
CUST100158,Female,26,Postpaid,Month-to-month,Yes,Yes,None,No,No,No,No,59,UPI,North,328.4,19662.12,2,1.0,0.363,No
CUST100159,Female,76,Prepaid,One year,Yes,No,Fiber,None,None,No,Yes,4,UPI,West,890.55,3293.72,2,127.3,0.296,No
CUST100160,Female,41,Postpaid,Month-to-month,Yes,Yes,Fiber,No,Yes,None,No,42,BankTransfer,East,1053.95,43966.59,2,111.5,0.276,No
CUST100161,Female,19,Postpaid,Month-to-month,Yes,Yes,Fiber,None,None,None,No,51,Wallet,South,1039.71,52957.99,2,145.9,0.168,No
CUST100162,Male,36,Prepaid,Month-to-month,Yes,No,Fiber,Yes,No,No,No,40,UPI,East,1024.41,41055.96,4,125.5,0.317,Yes
CUST100163,Male,70,Postpaid,Month-to-month,Yes,No,None,No,Yes,No,No,48,BankTransfer,East,345.64,16669.17,3,1.5,0.497,No
CUST100164,Male,40,Postpaid,Month-to-month,Yes,No,Fiber,Yes,No,No,Yes,45,UPI,East,1020.61,46186.04,2,110.2,0.332,Yes
CUST100165,Female,22,Postpaid,Two year,Yes,No,DSL,Yes,No,No,No,12,Wallet,South,563.96,6613.52,0,26.9,0.448,No
CUST100166,Male,63,Prepaid,Two year,Yes,Yes,Fiber,Yes,No,Yes,Yes,57,BankTransfer,East,915.08,52344.77,2,117.9,0.066,No
CUST100167,Male,30,Postpaid,One year,Yes,Yes,Fiber,Yes,No,No,Yes,19,UPI,South,951.8,17752.52,2,117.3,0.27,No
CUST100168,Male,40,Prepaid,Two year,Yes,No,DSL,No,Yes,None,No,12,UPI,South,490.37,5691.06,1,25.0,0.579,Yes
CUST100169,Male,18,Prepaid,Month-to-month,Yes,Yes,DSL,No,Yes,Yes,No,39,Card,North,585.16,22768.59,1,21.8,0.437,No
CUST100170,Male,55,Postpaid,Month-to-month,Yes,No,None,Yes,No,Yes,No,46,Wallet,West,285.04,12891.78,2,14.1,0.394,No
CUST100171,Male,46,Postpaid,Month-to-month,Yes,No,DSL,None,No,Yes,No,27,Card,North,674.09,18309.85,2,44.1,0.598,Yes
CUST100172,Female,72,Postpaid,Two year,Yes,No,DSL,No,None,No,No,4,Card,East,625.24,2370.76,1,21.4,0.522,Yes
CUST100173,Female,39,Prepaid,Month-to-month,Yes,No,Fiber,Yes,No,No,No,72,UPI,South,991.73,71605.17,2,119.5,0.167,No
CUST100174,Female,30,Prepaid,Month-to-month,Yes,No,None,No,No,No,Yes,59,BankTransfer,West,221.4,13236.32,2,1.0,0.338,No
CUST100175,Male,28,Prepaid,One year,No,No,Fiber,Yes,No,No,No,36,BankTransfer,South,931.32,33392.49,2,114.5,0.2,No
CUST100176,Female,30,Prepaid,Month-to-month,Yes,No,DSL,No,Yes,No,No,25,Card,North,697.84,17375.56,1,49.7,0.438,Yes
CUST100177,Male,46,Prepaid,One year,Yes,No,None,No,No,Yes,No,64,Card,North,150.0,9582.13,0,17.0,0.144,No
CUST100178,Female,23,Postpaid,Month-to-month,Yes,Yes,DSL,Yes,Yes,No,Yes,25,Card,South,635.44,16156.87,1,36.2,0.502,No
CUST100179,Female,43,Postpaid,One year,Yes,No,DSL,Yes,Yes,No,No,14,UPI,South,561.2,7668.31,1,18.4,0.458,No
CUST100180,Female,71,Postpaid,Two year,Yes,Yes,DSL,Yes,Yes,No,No,18,Wallet,East,510.38,8712.09,1,23.0,0.462,Yes
CUST100181,Male,66,Prepaid,One year,Yes,No,DSL,No,None,Yes,No,40,Wallet,West,520.94,20752.9,0,24.8,0.245,No
CUST100182,Male,58,Prepaid,Month-to-month,Yes,No,None,No,No,None,Yes,54,UPI,South,187.21,9925.42,1,15.2,0.297,No
CUST100183,Female,74,Postpaid,Month-to-month,Yes,No,DSL,None,Yes,No,Yes,23,UPI,West,680.77,15351.39,2,43.0,0.466,Yes
